,DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge,income_bin
47,063FP5,37037.8752304,,FOREST PARK 5,FOREST PARK 5,2507.0,217.0,705.0,940.0,0.0,0.0,both,low
48,063FP6,46613.8230662,,FOREST PARK 6,FOREST PARK 6,1011.0,163.0,317.0,485.0,0.0,0.0,both,low
49,063RD04,49299.9556957,black,RIVERDALE 4,RIVERDALE 4,3183.0,138.0,1184.0,1334.0,0.0,0.0,both,low
50,12111J,41628.0000181,black,11J,11J,1457.0,13.0,733.0,748.0,0.0,0.0,both,low
51,121SC23A,56054.9410052,black,SC23A,SC23A,4037.0,51.0,2019.0,2080.0,0.0,0.0,both,mid
52,063RD11,65591.2016586,black,RIVERDALE 11,RIVERDALE 11,1394.0,69.0,745.0,825.0,0.0,0.0,both,mid
53,121SC27,43809.1670036,black,SC27,SC27,1781.0,24.0,1014.0,1045.0,0.0,0.0,both,low
56,063RD08,62179.274513,black,RIVERDALE 8,RIVERDALE 8,2115.0,137.0,1135.0,1289.0,0.0,0.0,both,mid
57,121SC08B,43010.1486789,black,SC08B,SC08B,2592.0,50.0,1345.0,1406.0,0.0,0.0,both,low
58,121SC29A,49669.0001547,black,SC29A,SC29A,2336.0,25.0,1268.0,1300.0,0.0,0.0,both,low
59,121SC23B,54597.9959849,black,SC23B,SC23B,369.0,12.0,183.0,198.0,0.0,0.0,both,mid
60,121SC09B,46959.0854889,black,SC09B,SC09B,1379.0,20.0,750.0,773.0,0.0,0.0,both,low
61,121SC11B,56759.9999777,black,SC11B,SC11B,1320.0,17.0,700.0,719.0,0.0,0.0,both,mid
62,121SC11A,56759.9999747,black,SC11A,SC11A,1184.0,13.0,637.0,653.0,0.0,0.0,both,mid
63,121SC08D,39694.0,black,SC08D,SC08D,409.0,4.0,206.0,210.0,0.0,0.0,both,low
64,121UC01B,39848.998953,black,UC01B,UC01B,300.0,1.0,89.0,90.0,0.0,0.0,both,low
65,121SC09A,44086.6969134,black,SC09A,SC09A,2598.0,44.0,1158.0,1205.0,0.0,0.0,both,low
66,121UC01A,49338.6179548,black,UC01A,UC01A,2821.0,32.0,1057.0,1098.0,0.0,0.0,both,low
67,121UC031,51926.3173636,black,UC031,UC031,1901.0,209.0,636.0,851.0,0.0,0.0,both,mid
68,121SC08E,49346.9978534,black,SC08E,SC08E,333.0,1.0,163.0,165.0,0.0,0.0,both,low
69,121UC035,50266.6137287,black,UC035,UC035,7.0,2.0,3.0,5.0,0.0,0.0,both,mid
72,121SC07A,64043.8404756,black,SC07A,SC07A,3905.0,245.0,2022.0,2284.0,0.0,0.0,both,mid
73,121CH03,41282.0,white,CH03,CH03,272.0,115.0,51.0,169.0,0.0,0.0,both,low
74,121CH02,41282.0000023,white,CH02,CH02,260.0,57.0,97.0,154.0,0.0,0.0,both,low
75,121CH01,41282.0,white,CH01,CH01,190.0,22.0,50.0,74.0,0.0,0.0,both,low
76,121SC04,51949.8440986,white,SC04,SC04,859.0,231.0,272.0,514.0,0.0,0.0,both,mid
77,121CH05,41282.0,white,CH05,CH05,328.0,151.0,36.0,193.0,0.0,0.0,both,low
78,121CH04A,41282.0,white,CH04A,CH04A,412.0,155.0,97.0,258.0,0.0,0.0,both,low
79,063JB18,52205.8454371,black,JONESBORO 18,JONESBORO 18,2263.0,174.0,882.0,1076.0,0.0,0.0,both,mid
80,063JB11,71803.0289449,black,JONESBORO 11,JONESBORO 11,2840.0,439.0,1145.0,1611.0,0.0,0.0,both,mid
81,063JB07,61414.1036329,black,JONESBORO 7,JONESBORO 7,2340.0,296.0,930.0,1242.0,0.0,0.0,both,mid
82,063JB06,98786.0904393,white,JONESBORO 6,JONESBORO 6,2009.0,693.0,551.0,1264.0,0.0,0.0,both,mid
83,121UC032,49669.0000862,black,UC032,UC032,16.0,2.0,4.0,6.0,0.0,0.0,both,low
84,121SC211,54300.2067363,black,SC211,SC211,820.0,13.0,434.0,448.0,0.0,0.0,both,mid
85,063JB01,39933.0779979,black,JONESBORO 1,JONESBORO 1,3515.0,165.0,1423.0,1614.0,0.0,0.0,both,low
86,063PH1,71320.0,black,PANHANDLE 1,PANHANDLE 1,2293.0,171.0,1144.0,1325.0,0.0,0.0,both,mid
87,063JB13,61686.8245944,black,JONESBORO 13,JONESBORO 13,1336.0,154.0,645.0,813.0,0.0,0.0,both,mid
88,063LJ4,62823.9968421,black,LOVEJOY 4,LOVEJOY 4,2983.0,159.0,1368.0,1544.0,0.0,0.0,both,mid
89,063LJ5,48898.9998072,black,LOVEJOY 5,LOVEJOY 5,2207.0,108.0,951.0,1074.0,0.0,0.0,both,low
90,063PH2,71320.0,black,PANHANDLE 2,PANHANDLE 2,2043.0,367.0,785.0,1164.0,0.0,0.0,both,mid
91,063JB04,37524.6059607,black,JONESBORO 4,JONESBORO 4,1566.0,113.0,520.0,644.0,0.0,0.0,both,low
92,063LJ3,66907.0979587,black,LOVEJOY 3,LOVEJOY 3,4240.0,405.0,1553.0,1982.0,0.0,0.0,both,mid
93,063LJ1,50463.5165331,black,LOVEJOY 1,LOVEJOY 1,2716.0,269.0,1239.0,1531.0,0.0,0.0,both,mid
94,063LJ2,59069.9955964,black,LOVEJOY 2,LOVEJOY 2,2257.0,141.0,936.0,1088.0,0.0,0.0,both,mid
95,063JB05,62825.0,black,JONESBORO 5,JONESBORO 5,1532.0,223.0,537.0,768.0,0.0,0.0,both,mid
96,063JB14,66969.206291,black,JONESBORO 14,JONESBORO 14,3390.0,684.0,1290.0,2007.0,0.0,0.0,both,mid
112,121RW09,176443.563528,white,RW09,RW09,2442.0,1051.0,329.0,1398.0,0.0,0.0,both,high
127,121RW07B,45170.9301991,hispanic,RW07B,RW07B,307.0,56.0,85.0,149.0,0.0,0.0,both,low
128,121AP03,57454.0000093,,AP03,AP03,640.0,60.0,144.0,211.0,0.0,0.0,both,mid
129,121RW05,58003.9855617,,RW05,RW05,1701.0,284.0,347.0,644.0,0.0,0.0,both,mid
130,121AP021,110781.941078,white,AP021,AP021,2304.0,679.0,373.0,1082.0,0.0,0.0,both,high
131,121RW06,93606.2385029,white,RW06,RW06,2430.0,709.0,499.0,1232.0,0.0,0.0,both,mid
132,121RW13,103843.601204,white,RW13,RW13,2954.0,1028.0,552.0,1617.0,0.0,0.0,both,high
133,121AP01D,81158.1907624,white,AP01D,AP01D,656.0,149.0,112.0,266.0,0.0,0.0,both,mid
134,121AP02B,61654.999889,,AP02B,AP02B,356.0,90.0,61.0,153.0,0.0,0.0,both,mid
135,121AP022,61655.0002753,,AP022,AP022,1755.0,465.0,332.0,822.0,0.0,0.0,both,mid
136,121AP01B,84909.9999854,,AP01B,AP01B,648.0,93.0,105.0,206.0,0.0,0.0,both,mid
137,063RD01,59697.5995614,black,RIVERDALE 1,RIVERDALE 1,1764.0,88.0,946.0,1041.0,0.0,0.0,both,mid
138,063RD03,48284.7791155,black,RIVERDALE 3,RIVERDALE 3,2580.0,75.0,1159.0,1248.0,0.0,0.0,both,low
139,063OAK4,50172.3189563,black,OAK 4,OAK 4,2394.0,54.0,1036.0,1099.0,0.0,0.0,both,mid
140,063OAK2,46756.5878746,black,OAK 2,OAK 2,1039.0,33.0,377.0,416.0,0.0,0.0,both,low
141,063RD10,31847.5402106,black,RIVERDALE 10,RIVERDALE 10,1942.0,25.0,655.0,686.0,0.0,0.0,both,low
142,063OAK3,34426.8627647,black,OAK 3,OAK 3,2856.0,62.0,962.0,1032.0,0.0,0.0,both,low
143,121CP06,57248.9999336,white,CP06,CP06,369.0,2.0,93.0,95.0,0.0,0.0,both,mid
144,121CP05B,35056.3167721,black,CP05B,CP05B,90.0,1.0,35.0,36.0,0.0,0.0,both,low
146,121RW08,104907.832885,white,RW08,RW08,1928.0,744.0,308.0,1076.0,0.0,0.0,both,high
147,121RW18,152029.727253,white,RW18,RW18,1991.0,841.0,311.0,1172.0,0.0,0.0,both,high
148,121RW16,110849.313211,white,RW16,RW16,1575.0,590.0,293.0,902.0,0.0,0.0,both,high
149,121RW12,113046.672824,white,RW12,RW12,3083.0,1203.0,557.0,1804.0,0.0,0.0,both,high
153,121SS15B,72017.9998374,,SS15B,SS15B,1339.0,191.0,316.0,522.0,0.0,0.0,both,mid
154,121SS17,46878.6732202,white,SS17,SS17,2998.0,1008.0,534.0,1561.0,0.0,0.0,both,low
155,063OAK1,40769.3914333,black,OAK 1,OAK 1,1608.0,27.0,607.0,640.0,0.0,0.0,both,low
156,121CP02,79794.9668548,,CP02,CP02,813.0,66.0,283.0,357.0,0.0,0.0,both,mid
157,121CP01B,79794.9992581,,CP01B,CP01B,335.0,45.0,96.0,146.0,0.0,0.0,both,mid
159,12109F,92955.4619794,white,09F,09F,2909.0,838.0,739.0,1608.0,0.0,0.0,both,mid
160,12108N2,221381.421359,white,08N2,08N2,981.0,327.0,251.0,583.0,0.0,0.0,both,high
161,12108N1,221299.000193,white,08N1,08N1,703.0,324.0,123.0,451.0,0.0,0.0,both,high
162,12108F1,226070.090638,white,08F1,08F1,1922.0,901.0,355.0,1273.0,0.0,0.0,both,high
163,12108A,263565.203108,white,08A,08A,2537.0,882.0,506.0,1403.0,0.0,0.0,both,high
164,12108D,255725.654679,white,08D,08D,937.0,475.0,200.0,677.0,0.0,0.0,both,high
168,121SS09A,66325.2756171,white,SS09A,SS09A,2603.0,1091.0,551.0,1664.0,0.0,0.0,both,mid
170,121SS16,58034.0000791,,SS16,SS16,1894.0,848.0,389.0,1250.0,0.0,0.0,both,mid
171,121AP09A,105645.403973,white,AP09A,AP09A,3603.0,1077.0,613.0,1722.0,0.0,0.0,both,high
174,121JC12,170409.619398,white,JC12,JC12,2066.0,982.0,298.0,1299.0,0.0,0.0,both,high
176,121SS15A,44353.0003431,black,SS15A,SS15A,1950.0,109.0,471.0,594.0,0.0,0.0,both,low
178,121RW02,142982.961069,white,RW02,RW02,3339.0,1157.0,632.0,1842.0,0.0,0.0,both,high
179,121RW10,121373.989042,white,RW10,RW10,2836.0,1126.0,483.0,1650.0,0.0,0.0,both,high
180,121RW15,166033.558256,white,RW15,RW15,2741.0,1118.0,390.0,1535.0,0.0,0.0,both,high
181,121RW01,108603.189828,white,RW01,RW01,4059.0,1534.0,714.0,2280.0,0.0,0.0,both,high
182,121RW03,71633.4028417,,RW03,RW03,3392.0,772.0,722.0,1533.0,0.0,0.0,both,mid
224,12103E,19653.4983947,black,03E,03E,1615.0,7.0,534.0,546.0,0.0,0.0,both,low
225,12104J,25242.292842,black,04J,04J,908.0,1.0,129.0,130.0,0.0,0.0,both,low
226,12103L,60667.9997259,black,03L,03L,492.0,3.0,141.0,146.0,0.0,0.0,both,mid
227,12103M,57334.3119909,white,03M,03M,682.0,59.0,191.0,269.0,0.0,0.0,both,mid
228,12103N,29787.4994217,black,03N,03N,1758.0,9.0,481.0,497.0,0.0,0.0,both,low
229,12109G1,67895.0182723,white,09G1,09G1,377.0,34.0,113.0,150.0,0.0,0.0,both,mid
230,12109G2,67895.0000883,white,09G2,09G2,1925.0,251.0,528.0,792.0,0.0,0.0,both,mid
231,12109H,67895.0,white,09H,09H,746.0,56.0,209.0,269.0,0.0,0.0,both,mid
232,12108M,135365.035419,white,08M,08M,1321.0,610.0,247.0,865.0,0.0,0.0,both,high
233,12107J,125829.486437,white,07J,07J,2398.0,516.0,600.0,1129.0,0.0,0.0,both,high
234,12107H,129059.000016,white,07H,07H,1738.0,525.0,503.0,1040.0,0.0,0.0,both,high
235,12108G,118764.009889,white,08G,08G,2340.0,529.0,509.0,1046.0,0.0,0.0,both,high
236,12108C,256389.389374,white,08C,08C,1241.0,586.0,179.0,767.0,0.0,0.0,both,high
237,12108B,245507.920083,white,08B,08B,2902.0,1044.0,511.0,1582.0,0.0,0.0,both,high
238,12106I,69900.5230237,,06I,06I,2395.0,162.0,532.0,702.0,0.0,0.0,both,mid
240,121SS18B,90477.0004194,white,SS18B,SS18B,218.0,93.0,51.0,145.0,0.0,0.0,both,mid
242,121SS02A,90477.0,white,SS02A,SS02A,1034.0,233.0,223.0,465.0,0.0,0.0,both,mid
243,121SS19B,77423.006892,white,SS19B,SS19B,1825.0,276.0,408.0,694.0,0.0,0.0,both,mid
244,121SS19A,66247.9391108,,SS19A,SS19A,2523.0,274.0,581.0,870.0,0.0,0.0,both,mid
246,121SS26,57995.7841135,,SS26,SS26,2908.0,179.0,699.0,894.0,0.0,0.0,both,mid
247,121SS20,68393.6845785,,SS20,SS20,1681.0,292.0,327.0,632.0,0.0,0.0,both,mid
248,121SS22,52899.405147,,SS22,SS22,2347.0,548.0,516.0,1086.0,0.0,0.0,both,mid
249,121RW11A,92566.1771281,white,RW11A,RW11A,2266.0,653.0,460.0,1138.0,0.0,0.0,both,mid
250,121RW19,187821.165651,white,RW19,RW19,1742.0,672.0,264.0,950.0,0.0,0.0,both,high
251,121ML012,177525.000024,white,ML012,ML012,421.0,189.0,47.0,241.0,0.0,0.0,both,high
252,121ML01B,178143.432728,white,ML01B,ML01B,52.0,17.0,5.0,22.0,0.0,0.0,both,high
253,121AP04A,138431.719885,white,AP04A,AP04A,1349.0,589.0,188.0,794.0,0.0,0.0,both,high
254,121ML011,177524.999989,white,ML011,ML011,1809.0,651.0,229.0,893.0,0.0,0.0,both,high
255,121AP04B,177524.999495,white,AP04B,AP04B,317.0,111.0,53.0,166.0,0.0,0.0,both,high
256,12105A2,74509.8315883,white,05A2,05A2,2051.0,102.0,800.0,922.0,0.0,0.0,both,mid
257,12103G,15389.0001477,black,03G,03G,513.0,5.0,162.0,169.0,0.0,0.0,both,low
258,12103T,44311.8871663,black,03T,03T,1308.0,21.0,476.0,506.0,0.0,0.0,both,low
260,12104F,49896.5106383,white,04F,04F,1736.0,42.0,523.0,573.0,0.0,0.0,both,low
261,12103P1A,53680.0186107,white,03P1A,03P1A,2357.0,84.0,543.0,645.0,0.0,0.0,both,mid
262,12103I,66113.854176,,03I,03I,1080.0,75.0,202.0,291.0,0.0,0.0,both,mid
263,121AP06,111870.317795,white,AP06,AP06,1524.0,566.0,226.0,807.0,0.0,0.0,both,high
264,121AP07B,138287.349975,white,AP07B,AP07B,1219.0,434.0,177.0,618.0,0.0,0.0,both,high
265,121ML023,177681.167199,white,ML023,ML023,1112.0,499.0,102.0,606.0,0.0,0.0,both,high
266,121ML022,190427.0,white,ML022,ML022,221.0,79.0,17.0,97.0,0.0,0.0,both,high
267,121AP10,169333.999407,white,AP10,AP10,849.0,317.0,123.0,454.0,0.0,0.0,both,high
268,121ML04A,163189.779537,white,ML04A,ML04A,1366.0,503.0,173.0,694.0,0.0,0.0,both,high
269,121AP07A,90764.2214155,white,AP07A,AP07A,2654.0,724.0,507.0,1264.0,0.0,0.0,both,mid
270,121ML024,190426.999955,white,ML024,ML024,86.0,47.0,3.0,50.0,0.0,0.0,both,high
271,121ML04B,177112.076944,white,ML04B,ML04B,1031.0,440.0,133.0,581.0,0.0,0.0,both,high
272,121ML021,187591.470592,white,ML021,ML021,1298.0,534.0,118.0,661.0,0.0,0.0,both,high
273,121ML03,190427.0,white,ML03,ML03,3204.0,1315.0,301.0,1645.0,0.0,0.0,both,high
274,121ML07A,190427.0,white,ML07A,ML07A,571.0,217.0,63.0,289.0,0.0,0.0,both,high
275,121ML05B,190427.0,white,ML05B,ML05B,314.0,134.0,37.0,173.0,0.0,0.0,both,high
276,12112B,48162.9999502,black,12B,12B,1884.0,42.0,819.0,874.0,0.0,0.0,both,low
277,12112S,37724.9999756,black,12S,12S,1415.0,11.0,594.0,610.0,0.0,0.0,both,low
278,12101J,30444.8270649,black,01J,01J,1925.0,21.0,744.0,773.0,0.0,0.0,both,low
279,12101C1,38173.0765435,black,01C1,01C1,812.0,10.0,276.0,288.0,0.0,0.0,both,low
280,12112A,48162.9996438,black,12A,12A,597.0,10.0,280.0,295.0,0.0,0.0,both,low
281,12112K,29682.5130538,black,12K,12K,2249.0,32.0,783.0,822.0,0.0,0.0,both,low
282,12112N,28004.0125754,black,12N,12N,692.0,5.0,229.0,234.0,0.0,0.0,both,low
283,12104B,43957.3952996,black,04B,04B,1757.0,15.0,332.0,353.0,0.0,0.0,both,low
287,12110K,40334.9878689,black,10K,10K,1274.0,14.0,726.0,744.0,0.0,0.0,both,low
288,12110G,38163.730312,black,10G,10G,1076.0,15.0,635.0,652.0,0.0,0.0,both,low
289,12111H,44749.0923361,black,11H,11H,564.0,4.0,282.0,287.0,0.0,0.0,both,low
290,12110J,27505.4212903,black,10J,10J,742.0,3.0,311.0,317.0,0.0,0.0,both,low
291,12112L,24448.6012747,black,12L,12L,470.0,4.0,174.0,179.0,0.0,0.0,both,low
292,12112G,23800.0000513,black,12G,12G,666.0,14.0,329.0,345.0,0.0,0.0,both,low
293,12112D,23984.7763757,black,12D,12D,961.0,6.0,342.0,351.0,0.0,0.0,both,low
298,121MP01,175478.0,white,MP01,MP01,397.0,111.0,116.0,230.0,0.0,0.0,both,high
309,121ML05A,169334.0,white,ML05A,ML05A,12.0,6.0,8.0,14.0,0.0,0.0,both,high
310,121ML06A,89105.4961093,white,ML06A,ML06A,1514.0,215.0,280.0,507.0,0.0,0.0,both,mid
311,121AP12B,163711.151849,white,AP12B,AP12B,646.0,62.0,112.0,176.0,0.0,0.0,both,high
312,121ML05C,131507.554028,white,ML05C,ML05C,3484.0,990.0,559.0,1570.0,0.0,0.0,both,high
313,121ML04C,184433.58675,white,ML04C,ML04C,74.0,30.0,9.0,40.0,0.0,0.0,both,high
314,121ML071,190427.0,white,ML071,ML071,82.0,28.0,13.0,42.0,0.0,0.0,both,high
315,121ML06B,87754.0786291,white,ML06B,ML06B,2279.0,440.0,499.0,963.0,0.0,0.0,both,mid
316,121SS09B,107793.915474,white,SS09B,SS09B,2931.0,1218.0,598.0,1825.0,0.0,0.0,both,high
317,121SS13B,170781.917706,white,SS13B,SS13B,935.0,175.0,154.0,334.0,0.0,0.0,both,high
318,121SS11D,92761.0000254,,SS11D,SS11D,273.0,75.0,68.0,145.0,0.0,0.0,both,mid
319,121SS11B,92760.9877163,,SS11B,SS11B,1041.0,161.0,239.0,405.0,0.0,0.0,both,mid
320,121SS06,69192.9977567,white,SS06,SS06,1179.0,498.0,254.0,759.0,0.0,0.0,both,mid
321,121SS05,58602.0054561,,SS05,SS05,1617.0,669.0,400.0,1080.0,0.0,0.0,both,mid
322,121SS18A,71783.7353125,,SS18A,SS18A,573.0,239.0,124.0,366.0,0.0,0.0,both,mid
323,121SS31,69229.1196899,white,SS31,SS31,912.0,278.0,221.0,503.0,0.0,0.0,both,mid
324,121SS03,69193.0003403,white,SS03,SS03,1194.0,360.0,311.0,685.0,0.0,0.0,both,mid
325,121SS13A,94140.0,white,SS13A,SS13A,1273.0,374.0,282.0,665.0,0.0,0.0,both,mid
326,121SS11A,98018.5278361,white,SS11A,SS11A,3125.0,654.0,635.0,1313.0,0.0,0.0,both,mid
327,121SS11C,101716.448226,,SS11C,SS11C,227.0,18.0,47.0,67.0,0.0,0.0,both,high
328,121SS14,162671.225707,white,SS14,SS14,1173.0,507.0,237.0,756.0,0.0,0.0,both,high
329,12108J,138801.245249,white,08J,08J,2269.0,842.0,490.0,1345.0,0.0,0.0,both,high
330,063FP4,48873.5560823,,FOREST PARK 4,FOREST PARK 4,1276.0,213.0,375.0,613.0,0.0,0.0,both,low
331,063FP1,37380.0730443,black,FOREST PARK 1,FOREST PARK 1,2148.0,170.0,595.0,794.0,0.0,0.0,both,low
332,121HP01,52696.9730183,,HP01,HP01,2479.0,368.0,688.0,1085.0,0.0,0.0,both,mid
333,12112E1,22402.7118397,black,12E1,12E1,1123.0,15.0,346.0,362.0,0.0,0.0,both,low
334,121AP05,158709.308464,white,AP05,AP05,3703.0,1371.0,557.0,1947.0,0.0,0.0,both,high
335,121ML072,190427.0,white,ML072,ML072,870.0,331.0,97.0,430.0,0.0,0.0,both,high
336,121AP09B,115719.401279,white,AP09B,AP09B,641.0,145.0,121.0,274.0,0.0,0.0,both,high
349,121SC05D,87960.7627183,black,SC05D,SC05D,1901.0,95.0,994.0,1094.0,0.0,0.0,both,mid
350,121UC02B,99633.9108888,black,UC02B,UC02B,25.0,5.0,4.0,9.0,0.0,0.0,both,mid
351,121SC05B,101950.239027,black,SC05B,SC05B,2456.0,35.0,1357.0,1397.0,0.0,0.0,both,high
353,121SC18B,101953.999923,black,SC18B,SC18B,3786.0,71.0,2333.0,2409.0,0.0,0.0,both,high
358,121SC13B,56422.003735,white,SC13B,SC13B,1806.0,59.0,957.0,1021.0,0.0,0.0,both,mid
359,121SC05A,58258.2233014,white,SC05A,SC05A,494.0,8.0,278.0,290.0,0.0,0.0,both,mid
360,121SC13A,56422.0002889,white,SC13A,SC13A,4603.0,95.0,2476.0,2577.0,0.0,0.0,both,mid
361,12109K,31091.9225552,black,09K,09K,2102.0,9.0,612.0,623.0,0.0,0.0,both,low
362,12109M,118699.999949,white,09M,09M,1478.0,224.0,464.0,714.0,0.0,0.0,both,high
363,12109E,42531.6628892,black,09E,09E,1904.0,28.0,720.0,755.0,0.0,0.0,both,low
364,12109A,100512.153848,,09A,09A,2552.0,367.0,758.0,1156.0,0.0,0.0,both,high
365,12104C,35651.9998104,black,04C,04C,101.0,1.0,38.0,40.0,0.0,0.0,both,low
366,12103A,27740.6627099,black,03A,03A,1609.0,11.0,522.0,534.0,0.0,0.0,both,low
367,12103D,27340.0000291,black,03D,03D,803.0,2.0,272.0,280.0,0.0,0.0,both,low
368,12103B,27406.0000852,black,03B,03B,446.0,2.0,115.0,117.0,0.0,0.0,both,low
369,12109I,40775.9999983,black,09I,09I,1136.0,8.0,416.0,424.0,0.0,0.0,both,low
399,121SC14,42668.9250389,black,SC14,SC14,1023.0,7.0,330.0,339.0,0.0,0.0,both,low
402,121CP04,36599.8336446,black,CP04,CP04,117.0,1.0,22.0,23.0,0.0,0.0,both,low
403,121CP012,39986.8709058,,CP012,CP012,957.0,134.0,398.0,536.0,0.0,0.0,both,low
404,121EP03,40753.9595325,black,EP03,EP03,4829.0,129.0,2505.0,2653.0,0.0,0.0,both,low
405,121CP011,40399.8685842,,CP011,CP011,893.0,108.0,321.0,435.0,0.0,0.0,both,low
406,121EP01,42070.8213304,black,EP01,EP01,4363.0,196.0,1665.0,1891.0,0.0,0.0,both,low
407,121SC19B,47644.2055908,black,SC19B,SC19B,1090.0,18.0,517.0,539.0,0.0,0.0,both,low
