,county,dem_votes,precinct,rep_votes,total,prop
2167,MUSCOGEE,2710,FORT/WADDELL,533,3243,0.164353993216
333,CHATHAM,727,8-02 Bull Street Baptist,143,870,0.164367816092
915,DEKALB,1661,PLEASANTDALE ELEM,329,1990,0.165326633166
188,CALHOUN,240,Edison,48,290,0.165517241379
1269,FULTON,925,06B,184,1109,0.165915238954
2433,SUMTER,1276,Rec Dept,254,1530,0.166013071895
274,CHATHAM,768,2-11 S Gardens Christian,153,921,0.166123778502
1045,DOUGLAS,1959,BOUNDARY WATERS,391,2350,0.166382978723
2500,TIFT,1109,Mott-Littman Gym,223,1332,0.167417417417
2314,RICHMOND,1131,208,228,1359,0.167770419426
466,CLAYTON,1203,MORROW 6,243,1446,0.168049792531
1661,GWINNETT,794,MARTINS D,162,956,0.169456066946
2305,RICHMOND,614,111,126,740,0.17027027027
2474,THOMAS,1003,Douglass,206,1209,0.170388751034
1271,FULTON,1149,06E,236,1385,0.170397111913
1863,HENRY,2590,WESTSIDE,534,3124,0.170934699104
39,BALDWIN,532,East Hardwick,110,642,0.171339563863
1275,FULTON,1339,06J,279,1618,0.172435105068
435,CLAYTON,1257,FOREST PARK 5,263,1520,0.173026315789
405,CLARKE,1550,2A Judia J. Harris Sch,325,1875,0.173333333333
467,CLAYTON,756,MORROW 7,160,916,0.174672489083
2376,ROCKDALE,2418,Olde Towne,513,2931,0.175025588536
1225,FULTON,549,02L2,117,666,0.175675675676
440,CLAYTON,805,JONESBORO 4,172,977,0.17604912999
458,CLAYTON,2676,LOVEJOY 3,572,3248,0.176108374384
1453,FULTON,514,RW07A,110,624,0.176282051282
439,CLAYTON,1787,JONESBORO 3,384,2171,0.1768770152
1882,HENRY,2215,ELLENWOOD,482,2697,0.178717093066
2442,TALBOT,487,TALBOTTON,106,593,0.178752107926
1007,DOUGHERTY,549,Phoebe Edu. Bldg,120,669,0.179372197309
2059,MACON,658,Montezuma 5,144,802,0.179551122195
596,COBB,2283,Pebblebrook 01,500,2783,0.179662234998
1538,FULTON,1437,SS26,316,1753,0.180262407302
1820,HANCOCK,472,Youth Center,104,576,0.180555555556
1815,HANCOCK,456,Courthouse,101,557,0.181328545781
2109,MITCHELL,944,Camilla North,212,1156,0.18339100346
2656,WILCOX,262,Rochelle North 1,59,321,0.183800623053
1677,GWINNETT,1395,PINCKNEYVILLE N,315,1710,0.184210526316
580,COBB,1206,Marietta 7A,273,1479,0.184584178499
427,CLAY,181,Courthouse,41,222,0.184684684685
1386,FULTON,518,CP011,119,637,0.186813186813
2614,WAYNE,429,VFW,99,528,0.1875
267,CHATHAM,629,2-02 Blackshear Comm Ctr,146,775,0.188387096774
933,DEKALB,1305,SCOTT,303,1608,0.188432835821
1227,FULTON,211,02W,49,260,0.188461538462
30,BALDWIN,533,Boddie,124,657,0.188736681887
539,COBB,2753,Harmony Leland 01,646,3399,0.190055898794
1741,GWINNETT,1207,PINCKNEYVILLE Y,286,1493,0.191560616209
342,CHATHAM,434,8-12 Beach High School,103,537,0.191806331471
443,CLAYTON,1382,JONESBORO 7,328,1710,0.191812865497
2304,RICHMOND,440,109,105,545,0.192660550459
2583,WARE,1737,100,417,2154,0.193593314763
1637,GWINNETT,987,PINCKNEYVILLE A,237,1224,0.19362745098
1290,FULTON,754,07N,182,936,0.194444444444
2094,MERIWETHER,478,MANCHESTER GILL II,116,594,0.195286195286
1546,FULTON,982,UC031,239,1221,0.195741195741
2675,WILKINSON,530,Midway,129,659,0.195751138088
517,COBB,1638,Dobbins 01,400,2038,0.196270853778
1029,DOUGLAS,2636,COUNTY LINE BAPTIST CHURCH,644,3280,0.196341463415
1598,GRADY,1094,Cairo 4th District,269,1363,0.197358767425
839,DEKALB,1300,FERNBANK ELEM,320,1620,0.197530864198
1280,FULTON,813,06R,201,1014,0.198224852071
28,BALDWIN,524,South Milledgeville,131,655,0.2
284,CHATHAM,607,3-11 Southside Bapt Church,152,759,0.200263504611
854,DEKALB,940,HARRIS-MARGARET HARRIS ED,236,1176,0.200680272109
2016,LIBERTY,555,Riceboro Youth Center,140,695,0.201438848921
1270,FULTON,4281,06D,1081,5362,0.20160387915
433,CLAYTON,877,FOREST PARK 3,222,1099,0.202001819836
950,DEKALB,636,STONE MOUNTAIN LIBRARY,161,797,0.202007528231
332,CHATHAM,272,8-01 Civic Center,69,341,0.202346041056
2077,MCDUFFIE,527,Queen of Angels,134,661,0.202723146747
1735,GWINNETT,1518,MARTINS J,387,1905,0.203149606299
2086,MCINTOSH,39,Sapelo Island,10,49,0.204081632653
1214,FULTON,1666,02A,429,2095,0.20477326969
287,CHATHAM,1062,3-14 Riverview Health Reh,276,1338,0.206278026906
1305,FULTON,621,08P,162,783,0.206896551724
1684,GWINNETT,1323,PINCKNEYVILLE O,346,1669,0.207309766327
1238,FULTON,325,03M,85,410,0.207317073171
1655,GWINNETT,760,PINCKNEYVILLE E,199,959,0.207507820647
431,CLAYTON,1011,FOREST PARK 1,265,1276,0.207680250784
497,COBB,1995,Austell 1A,523,2518,0.207704527403
1640,GWINNETT,723,PINCKNEYVILLE D,190,913,0.208105147864
2406,SPALDING,839,CITY PARK,221,1060,0.208490566038
1676,GWINNETT,1311,PINCKNEYVILLE K,349,1660,0.210240963855
860,DEKALB,965,IDLEWOOD ELEM,258,1223,0.210956663941
1722,GWINNETT,2635,ROCKBRIDGE F,711,3346,0.212492528392
735,COWETA,954,CENTRAL,259,1213,0.213520197857
1521,FULTON,114,SS11C,31,145,0.213793103448
835,DEKALB,1728,EMORY SOUTH,470,2198,0.213830755232
1312,FULTON,1425,09G,389,1814,0.214443219405
40,BALDWIN,1336,West Hardwick,366,1702,0.215041128085
2019,LIBERTY,741,Memorial Dr. East,203,944,0.215042372881
885,DEKALB,1198,MEDLOCK ELEM,331,1529,0.216481360366
862,DEKALB,689,JOHNSON ESTATES,191,880,0.217045454545
2164,MUSCOGEE,1329,EDDY/KEY,370,1699,0.21777516186
1768,GWINNETT,876,DULUTH K,244,1120,0.217857142857
445,CLAYTON,470,JONESBORO 9,131,601,0.217970049917
1740,GWINNETT,2422,ROCKBRIDGE G,676,3098,0.218205293738
1316,FULTON,963,09M,270,1233,0.21897810219
1693,GWINNETT,2297,ROCKBRIDGE C,646,2943,0.219503907577
1276,FULTON,472,06L1,133,605,0.219834710744
99,BIBB,1120,EAST MACON 5,317,1437,0.220598469033
1874,HENRY,890,STOCKBRIDGE EAST,252,1142,0.220665499124
1387,FULTON,563,CP012,161,724,0.222375690608
604,COBB,1450,Powder Springs 2A,415,1865,0.222520107239
2182,NEWTON,1687,Town,488,2175,0.224367816092
643,COLQUITT,1089,Shaw,317,1406,0.22546230441
447,CLAYTON,1656,JONESBORO 11,483,2139,0.225806451613
1762,GWINNETT,2368,LAWRENCEVILLE M,692,3060,0.22614379085
414,CLARKE,1106,5D ACC Fleet Mgt Bldg,324,1430,0.226573426573
1757,GWINNETT,2085,MARTINS K,611,2696,0.226632047478
1634,GWINNETT,1226,MARTINS A,362,1588,0.227959697733
2193,NEWTON,2068,Beaverdam,617,2685,0.229795158287
813,DEKALB,1422,CLAIRMONT ROAD,425,1847,0.230102869518
792,DEKALB,1364,BRIAR VISTA ELEM,408,1772,0.230248306998
1135,FAYETTE,517,KENWOOD,156,673,0.231797919762
576,COBB,1244,Marietta 5A,378,1622,0.233045622688
2153,MUSCOGEE,2040,WYNNTON,621,2661,0.233370913191
616,COBB,1589,Smyrna 1A,485,2074,0.233847637416
2464,TERRELL,1395,Dawson,427,1822,0.234357848518
408,CLARKE,2086,3B Thomas N. Lay Park,640,2726,0.234776228907
2478,THOMAS,918,Harper,282,1200,0.235
1911,HOUSTON,3177,RECR,978,4155,0.235379061372
2431,SUMTER,1216,Rees Park,376,1592,0.236180904523
227,CARROLL,1043,WEST CARROLLTON (714A1),323,1366,0.236456808199
1713,GWINNETT,1850,DULUTH F,576,2426,0.237427864798
1306,FULTON,1448,09A,451,1899,0.237493417588
2024,LIBERTY,908,Walthourville,283,1191,0.237615449202
1822,HANCOCK,80,Sparta 4C,25,105,0.238095238095
514,COBB,1998,Cooper 01,625,2623,0.23827678231
306,CHATHAM,685,5-07 Elks Lodge,215,900,0.238888888889
178,BURKE,1286,North Waynesboro,404,1690,0.239053254438
1169,FLOYD,496,SOUTH ROME,156,652,0.239263803681
2326,RICHMOND,1844,310,580,2424,0.239273927393
309,CHATHAM,1101,5-11 Largo-Tibet Elem,347,1448,0.239640883978
1678,GWINNETT,1732,LAWRENCEVILLE D,547,2279,0.240017551558
1668,GWINNETT,981,PINCKNEYVILLE I,310,1291,0.240123934934
2017,LIBERTY,1344,Lyman Hall School,426,1770,0.240677966102
1619,GWINNETT,1695,ROCKBRIDGE A,538,2233,0.240931482311
2315,RICHMOND,425,209,135,560,0.241071428571
958,DEKALB,469,VALLEY BROOK,149,618,0.241100323625
1734,GWINNETT,1356,MARTINS I,431,1787,0.241186345831
2381,ROCKDALE,1163,St. Pius,371,1534,0.24185136897
577,COBB,905,Marietta 5B,290,1195,0.242677824268
1706,GWINNETT,1768,ROCKBRIDGE E,568,2336,0.243150684932
999,DOUGHERTY,1728,Darton College,556,2284,0.243432574431
1363,FULTON,292,AP03,94,386,0.243523316062
464,CLAYTON,725,MORROW 4,234,959,0.244004171011
1638,GWINNETT,1110,PINCKNEYVILLE B,359,1469,0.244383934649
441,CLAYTON,820,JONESBORO 5,269,1089,0.247015610652
2318,RICHMOND,396,302,130,526,0.247148288973
1704,GWINNETT,911,MARTINS F,304,1215,0.250205761317
301,CHATHAM,396,5-01 Bartlett Middle Sch,133,529,0.251417769376
627,COBB,1137,Sweetwater 02,382,1519,0.251481237656
587,COBB,2088,Nickajack 01,703,2791,0.25188104622
1990,LAURENS,2212,Calhoun Park,745,2957,0.251944538383
578,COBB,908,Marietta 6A,307,1215,0.252674897119
121,BIBB,829,VINEVILLE 2,281,1110,0.253153153153
1721,GWINNETT,1164,BERKSHIRE L,395,1559,0.253367543297
906,DEKALB,701,OAKCLIFF ELEM,238,939,0.25346112886
1629,GWINNETT,2085,BERKSHIRE B,709,2794,0.253758052971
2375,ROCKDALE,1529,Milstead,526,2055,0.25596107056
190,CALHOUN,306,Arlington,107,416,0.257211538462
2367,ROCKDALE,1267,Conyers,439,1706,0.257327080891
280,CHATHAM,733,3-05 Aldersgate Youth Cent,257,990,0.259595959596
856,DEKALB,1677,HAWTHORNE ELEM,590,2267,0.260255844729
824,DEKALB,1077,DORAVILLE NORTH,380,1457,0.260809883322
286,CHATHAM,1289,3-13 New Cov 7 Day Adv Ch,455,1744,0.260894495413
32,BALDWIN,642,Fire Dept,227,869,0.261219792865
1013,DOUGHERTY,426,International Studie,151,577,0.261698440208
1454,FULTON,166,RW07B,59,225,0.262222222222
2301,RICHMOND,331,106,118,449,0.26280623608
871,DEKALB,1329,LAVISTA,474,1803,0.262895174709
617,COBB,2199,Smyrna 2A,785,2984,0.263069705094
1533,FULTON,1209,SS19A,432,1641,0.263254113346
1446,FULTON,1044,PA01,374,1418,0.263751763047
1534,FULTON,882,SS19B,316,1198,0.263772954925
2183,NEWTON,1959,Almon,706,2665,0.264915572233
410,CLARKE,1963,4B Memorial Park,708,2671,0.265069262449
2175,MUSCOGEE,571,FIRST AFRICAN,206,777,0.265122265122
409,CLARKE,723,4A Athens Transit Ctr,261,984,0.265243902439
2297,RICHMOND,519,102,188,707,0.265912305516
2361,RICHMOND,543,807,197,740,0.266216216216
531,COBB,1617,Fair Oaks 02,588,2205,0.266666666667
508,COBB,2134,Chattahoochee 01,780,2914,0.267673301304
553,COBB,2170,Lindley 01,796,2966,0.268374915711
1505,FULTON,515,SS02B,189,704,0.268465909091
1702,GWINNETT,1154,LAWRENCEVILLE G,426,1580,0.269620253165
2369,ROCKDALE,1735,Flat Shoals,641,2376,0.269781144781
786,DEKALB,1483,AVONDALE,550,2033,0.270536153468
1867,HENRY,1925,MT. CARMEL,716,2641,0.271109428247
1689,GWINNETT,1625,LAWRENCEVILLE F,605,2230,0.27130044843
592,COBB,2300,Oregon 02,858,3158,0.271690943635
1956,JEFFERSON,847,Wadley,316,1163,0.271711092003
2021,LIBERTY,887,Town of Allenhurst,331,1218,0.271756978654
935,DEKALB,786,SHAMROCK,297,1083,0.274238227147
475,CLAYTON,1204,PANHANDLE 2,456,1660,0.274698795181
97,BIBB,1282,EAST MACON 3,487,1769,0.275296777841
2654,WHITFIELD,612,5A,233,845,0.27573964497
897,DEKALB,759,MONTREAL,289,1048,0.275763358779
2339,RICHMOND,1255,601,478,1733,0.275822273514
1662,GWINNETT,1618,ROCKBRIDGE B,617,2235,0.276062639821
826,DEKALB,1903,DRESDEN ELEM,726,2629,0.276150627615
2025,LIBERTY,206,Fleming West,79,285,0.277192982456
859,DEKALB,1310,HUNTLEY HILLS ELEM,503,1813,0.277440706012
530,COBB,1564,Fair Oaks 01,603,2167,0.278264882326
2178,MUSCOGEE,842,GALLOPS/HANNAN,327,1169,0.279726261762
872,DEKALB,1016,LAVISTA ROAD,395,1411,0.279943302622
2028,LIBERTY,869,Hinesville Lodge,338,1207,0.280033140017
418,CLARKE,733,6D Firestation #4,287,1020,0.28137254902
2655,WHITFIELD,475,6A,186,661,0.28139183056
315,CHATHAM,808,6-08 Savannah Commons,317,1125,0.281777777778
1728,GWINNETT,856,MARTINS G,339,1195,0.283682008368
949,DEKALB,1030,STONE MOUNTAIN ELEM,408,1438,0.283727399166
2395,SCREVEN,108,Cooperville Fire Station,43,151,0.284768211921
1277,FULTON,317,06L2,127,444,0.286036036036
1682,GWINNETT,1332,GARNERS D,534,1866,0.286173633441
969,DEKALB,974,WOODWARD ELEM,397,1371,0.289569657185
594,COBB,1772,Oregon 04,724,2496,0.290064102564
1404,FULTON,1163,HP01,476,1639,0.290420988408
2499,TIFT,762,Tifton South,313,1075,0.291162790698
912,DEKALB,1417,PEACHTREE MIDDLE,589,2006,0.293619142572
107,BIBB,2659,HAZZARD 3,1106,3765,0.293758300133
825,DEKALB,488,DORAVILLE SOUTH,203,691,0.293777134588
837,DEKALB,1222,EVANSDALE ELEM,510,1732,0.294457274827
1694,GWINNETT,1558,ROCKBRIDGE D,651,2209,0.29470348574
412,CLARKE,1196,5B Whitehead Rd School,500,1696,0.294811320755
1380,FULTON,105,CH01,44,149,0.295302013423
424,CLARKE,1403,8C Firestation #7,588,1991,0.295328980412
2665,WILKES,429,Edward B Pope Center,180,609,0.295566502463
1656,GWINNETT,693,PINCKNEYVILLE F,291,984,0.295731707317
569,COBB,1176,Marietta 1A,497,1673,0.297071129707
819,DEKALB,1565,CORALWOOD,665,2230,0.298206278027
423,CLARKE,863,8B Cedar Shls High Sch,370,1233,0.300081103001
2514,TROUP,1313,ADMINISTRATION BLDG,563,1876,0.300106609808
2337,RICHMOND,317,507,136,453,0.300220750552
605,COBB,1448,Powder Springs 3A,622,2070,0.300483091787
422,CLARKE,1231,8A Gaines School,533,1764,0.302154195011
1979,LAMAR,939,BARNESVILLE FBC,410,1349,0.303928836175
2201,NEWTON,1662,Stansells,726,2388,0.304020100503
2335,RICHMOND,705,504,308,1013,0.304047384008
1890,HENRY,1631,STOCKBRIDGE CENTRAL,714,2345,0.30447761194
2190,NEWTON,1649,Livingston,722,2371,0.304512863771
628,COBB,1982,Terrell Mill 01,869,2851,0.304805331463
2341,RICHMOND,642,604,282,924,0.305194805195
2310,RICHMOND,1555,202,684,2239,0.305493523895
1089,EMANUEL,93,Cross-Green,41,134,0.305970149254
2378,ROCKDALE,1516,Salem,671,2187,0.306812985825
923,DEKALB,979,REHOBOTH,434,1413,0.307147912243
1520,FULTON,470,SS11B,209,679,0.307805596465
810,DEKALB,932,CHESNUT ELEM,415,1347,0.308092056422
1301,FULTON,1577,08L,704,2281,0.308636562911
436,CLAYTON,456,FOREST PARK 6,204,660,0.309090909091
2380,ROCKDALE,1828,Smyrna,818,2646,0.309145880574
1278,FULTON,739,06N,331,1070,0.309345794393
1385,FULTON,149,CP01B,67,216,0.310185185185
1628,GWINNETT,836,BERKSHIRE A,381,1217,0.313064913722
307,CHATHAM,661,5-08 Savannah Primitive,303,964,0.314315352697
889,DEKALB,1289,MIDVALE ROAD,591,1880,0.314361702128
1869,HENRY,2042,WESLEY LAKES,938,2980,0.314765100671
411,CLARKE,1260,5A Oglethorpe School,580,1840,0.315217391304
1742,GWINNETT,929,GOODWINS G,430,1359,0.316409124356
903,DEKALB,683,NORTHLAKE,318,1001,0.317682317682
2239,PEACH,948,FORT VALLEY #2,442,1390,0.317985611511
120,BIBB,1225,VINEVILLE 1,575,1800,0.319444444444
742,COWETA,317,WESTSIDE,149,466,0.31974248927
1040,DOUGLAS,1466,CHESTNUT LOG,690,2156,0.320037105751
281,CHATHAM,461,3-08 Jenkins High School,217,678,0.32005899705
1700,GWINNETT,1652,DULUTH E,779,2431,0.320444261621
1376,FULTON,248,AP12B,117,365,0.320547945205
1285,FULTON,833,07E,395,1228,0.321661237785
513,COBB,2063,Clarkdale 02,981,3044,0.322273324573
564,COBB,1554,Macland 01,740,2294,0.322580645161
902,DEKALB,695,NORTH PEACHTREE,333,1028,0.323929961089
1821,HANCOCK,177,Second Darrien,85,262,0.324427480916
1011,DOUGHERTY,309,Radium Middle School,149,458,0.325327510917
450,CLAYTON,1763,JONESBORO 14,854,2617,0.326327856324
957,DEKALB,1119,TUCKER LIBRARY,543,1662,0.326714801444
321,CHATHAM,1439,7-04 Lake Shore Comm Ctr,700,2139,0.327255726975
2372,ROCKDALE,666,The Lakes,325,991,0.327951564077
593,COBB,1179,Oregon 03,576,1755,0.328205128205
2294,RANDOLPH,112,Springvale,55,167,0.329341317365
961,DEKALB,523,WARREN TECH,258,781,0.330345710627
434,CLAYTON,569,FOREST PARK 4,282,851,0.331374853114
426,CLAY,159,Zetto,79,238,0.331932773109
2359,RICHMOND,271,805,135,406,0.332512315271
2058,MACON,632,Montezuma 4,315,947,0.332629355861
462,CLAYTON,678,MORROW 2,338,1016,0.332677165354
620,COBB,1360,Smyrna 5A,681,2041,0.333659970603
1528,FULTON,586,SS15B,295,881,0.33484676504
2534,TWIGGS,698,JEFFERSONVILLE/WARE,353,1051,0.335870599429
2377,ROCKDALE,1707,Rockdale,866,2573,0.336572094831
2336,RICHMOND,136,506,69,205,0.336585365854
1584,GLYNN,374,Selden Park,190,564,0.336879432624
1044,DOUGLAS,1608,FACTORY SHOALS,817,2425,0.336907216495
1038,DOUGLAS,1588,CHAPEL HILL,807,2395,0.336951983299
2088,MCINTOSH,798,Crescent,406,1204,0.337209302326
2517,TROUP,773,WEST POINT,394,1167,0.337617823479
1015,DOUGHERTY,775,Pine Bluff Bapt Church,396,1171,0.338172502135
857,DEKALB,1299,HENDERSON MILL ELEM,665,1964,0.338594704684
2440,TALBOT,207,JUNCTION CITY,106,313,0.338658146965
1733,GWINNETT,1584,MARTINS H,817,2401,0.340274885464
779,DECATUR,744,Attapulgus,384,1128,0.340425531915
1112,FAYETTE,1214,BLACKROCK,628,1842,0.340933767644
622,COBB,2622,Smyrna 7A,1358,3980,0.341206030151
1635,GWINNETT,1079,MARTINS B,561,1640,0.342073170732
1535,FULTON,712,SS20,371,1083,0.342566943675
797,DEKALB,1042,BROCKETT ELEM,546,1588,0.343828715365
1440,FULTON,670,ML06A,353,1023,0.345063538612
1885,HENRY,1410,SHILOH,743,2153,0.34509986066
1671,GWINNETT,1294,CATES H,683,1977,0.345472938796
1633,GWINNETT,1744,LAWRENCEVILLE B,924,2668,0.346326836582
1513,FULTON,479,SS08A,254,733,0.346521145975
560,COBB,948,Mableton 02,503,1451,0.346657477602
174,BURKE,111,Scotts Crossroads,59,170,0.347058823529
2356,RICHMOND,15,803,8,23,0.347826086957
904,DEKALB,1001,OAK GROVE ELEM,536,1537,0.34873129473
931,DEKALB,1379,SAGAMORE HILLS ELEM,740,2119,0.349221330816
168,BURKE,180,Gough,97,277,0.350180505415
331,CHATHAM,2338,7-14 Coastal Cathedral,1269,3607,0.351815913502
1731,GWINNETT,540,PINCKNEYVILLE V,294,834,0.352517985612
1683,GWINNETT,582,BERKSHIRE H,317,899,0.352614015573
632,COBB,2238,Vinings 02,1221,3459,0.352992194276
559,COBB,1794,Mableton 01,982,2776,0.353746397695
1289,FULTON,747,07M,409,1156,0.353806228374
533,COBB,542,Fair Oaks 05,297,839,0.353992848629
1507,FULTON,1172,SS04,643,1815,0.354269972452
1288,FULTON,1078,07J,592,1670,0.354491017964
524,COBB,1240,Elizabeth 01,685,1925,0.355844155844
1745,GWINNETT,723,LAWRENCEVILLE J,400,1123,0.356188780053
402,CLARKE,1268,1B Gaines School,704,1972,0.356997971602
403,CLARKE,899,1C Whit Davis School,500,1399,0.35739814153
2288,RANDOLPH,314,Shellman,175,489,0.357873210634
155,BULLOCH,1880,Pittman Park,1052,2932,0.358799454297
1375,FULTON,248,AP12A,139,387,0.359173126615
2181,NEWTON,552,City Pond,310,862,0.359628770302
1582,GLYNN,907,Howard Coffin Park,510,1417,0.359915314044
1610,GREENE,1254,Greensboro,707,1961,0.360530341662
1469,FULTON,383,SC04,216,599,0.360601001669
603,COBB,1633,Powder Springs 1A,925,2558,0.361610633307
2393,SCREVEN,434,Sr Citizens Center,247,681,0.362701908957
807,DEKALB,631,CHAMBLEE ,361,992,0.363911290323
2342,RICHMOND,1265,605,724,1989,0.364002011061
2057,MACON,531,Marshallville,304,835,0.364071856287
2179,MUSCOGEE,1085,EDGEWOOD BAPTIST,623,1708,0.364754098361
793,DEKALB,1193,BRIARCLIFF,686,1879,0.365087812666
2,APPLING,742,2,427,1169,0.365269461078
1659,GWINNETT,2056,BAYCREEK B,1184,3240,0.365432098765
420,CLARKE,1220,7B Alps Elem. School,704,1924,0.365904365904
1889,HENRY,1734,FLIPPEN,1002,2736,0.366228070175
318,CHATHAM,1341,6-11 Bamboo Farms,776,2117,0.366556447803
748,CRAWFORD,376,1B - COUNTY,218,594,0.367003367003
2290,RANDOLPH,734,Cuthbert/Courthouse,426,1160,0.36724137931
1451,FULTON,682,RW05,397,1079,0.367933271548
1515,FULTON,216,SS08C,126,342,0.368421052632
749,CRAWFORD,12,1B - CITY,7,19,0.368421052632
870,DEKALB,1391,LAKESIDE HIGH,812,2203,0.368588288697
1663,GWINNETT,1216,GARNERS B,711,1927,0.368967306694
1705,GWINNETT,999,PINCKNEYVILLE S,586,1585,0.369716088328
29,BALDWIN,303,City Hall Annex,178,481,0.370062370062
1695,GWINNETT,1751,GOODWINS C,1030,2781,0.37037037037
2056,MACON,487,Oglethorpe,287,774,0.370801033592
132,BROOKS,1362,Quitman,803,2165,0.370900692841
795,DEKALB,870,BRIARWOOD,513,1383,0.370932754881
532,COBB,738,Fair Oaks 04,436,1174,0.371379897785
277,CHATHAM,610,3-02 Rose of Sharon,361,971,0.371781668383
2444,TALBOT,464,FLINT HILL,275,739,0.372124492558
421,CLARKE,1070,7C Firestation #3,635,1705,0.372434017595
404,CLARKE,1192,1D Whit Davis School,710,1902,0.373291272345
17,ATKINSON,275,Pearson City,164,439,0.373576309795
1039,DOUGLAS,2337,CHURCH-CH,1396,3733,0.373961960889
416,CLARKE,1387,6B Ga Square Mall,829,2216,0.374097472924
2441,TALBOT,215,GENEVA,129,344,0.375
1545,FULTON,10,UC02B,6,16,0.375
1879,HENRY,1297,AUSTIN ROAD,780,2077,0.375541646606
796,DEKALB,966,BROCKETT,584,1550,0.376774193548
1774,GWINNETT,1566,BAYCREEK J,949,2515,0.377335984095
751,CRAWFORD,100,2 - CITY,61,161,0.378881987578
1047,EARLY,1270,Blakely,777,2047,0.379579872985
2030,LINCOLN,335,Lincoln Club House,205,540,0.37962962963
618,COBB,2241,Smyrna 3A,1373,3614,0.379911455451
2018,LIBERTY,1242,Lewis Frasier School,767,2009,0.381781981085
822,DEKALB,782,CROSS KEYS HIGH,483,1265,0.381818181818
2678,WORTH,903,Sylvester,559,1462,0.382352941176
633,COBB,1598,Vinings 03,991,2589,0.382773271533
503,COBB,899,Birney 01,558,1457,0.382978723404
2446,TALIAFERRO,431,Crawfordville,269,700,0.384285714286
2073,MARION,962,Buena Vista,602,1564,0.384910485934
1516,FULTON,407,SS08D,255,662,0.385196374622
1752,GWINNETT,1561,BAYCREEK F,981,2542,0.385916601101
1873,HENRY,1902,HICKORY FLAT,1197,3099,0.386253630203
1970,JONES,1127,HAWKINS,710,1837,0.386499727817
1121,FAYETTE,1206,SANDY CREEK-03,764,1970,0.387817258883
1675,GWINNETT,1378,DULUTH D,874,2252,0.38809946714
2423,STEWART,547,Richland,347,894,0.388143176734
2662,WILKES,564,Senior Citizen Center,358,922,0.388286334056
1035,DOUGLAS,970,ARBOR STATION,616,1586,0.388398486759
313,CHATHAM,608,6-05 Windsor Golden Age,387,995,0.388944723618
2424,STEWART,124,Louvale,79,203,0.389162561576
310,CHATHAM,585,6-01 White Bluff Pres Chr,373,958,0.389352818372
1300,FULTON,382,08K,244,626,0.389776357827
504,COBB,1441,Birney 02,922,2363,0.390181972069
419,CLARKE,1077,7A Timothy Road School,692,1769,0.391181458451
833,DEKALB,787,EMBRY HILLS,508,1295,0.392277992278
545,COBB,1899,Kennesaw 3A,1227,3126,0.392514395393
2425,STEWART,470,Lumpkin,304,774,0.392764857881
1519,FULTON,1289,SS11A,840,2129,0.394551432597
847,DEKALB,1303,GEORGETOWN SQUARE,851,2154,0.395078922934
1719,GWINNETT,700,PINCKNEYVILLE U,459,1159,0.39603106126
2176,MUSCOGEE,67,EPWORTH-02,44,111,0.396396396396
2306,RICHMOND,268,112,176,444,0.396396396396
1651,GWINNETT,621,BERKSHIRE F,408,1029,0.396501457726
679,COLUMBIA,286,Second Mt Carmel Bapt Church,188,474,0.396624472574
1466,FULTON,1361,RW22A,895,2256,0.396719858156
718,COOK,295,Sparks,194,489,0.39672801636
2081,MCDUFFIE,722,Vanderhorst,477,1199,0.397831526272
401,CLARKE,931,1A W'ville Train Depot,618,1549,0.398967075533
1032,DOUGLAS,1615,OLD COURTHOUSE,1075,2690,0.399628252788
1955,JEFFERSON,1441,Louisville,960,2401,0.399833402749
723,COWETA,1043,NEWNAN,696,1739,0.400230017251
1311,FULTON,1371,09F,919,2290,0.401310043668
512,COBB,666,Clarkdale 01,448,1114,0.402154398564
1441,FULTON,996,ML06B,670,1666,0.402160864346
1708,GWINNETT,1069,LAWRENCEVILLE I,721,1790,0.402793296089
829,DEKALB,1069,DUNWOODY,722,1791,0.403126744835
2322,RICHMOND,1272,306,861,2133,0.403656821378
495,COBB,1532,Acworth 1C,1037,2569,0.403659011288
2371,ROCKDALE,1176,Hightower,797,1973,0.403953370502
1581,GLYNN,720,College Place,488,1208,0.403973509934
327,CHATHAM,1067,7-10 Progressive Rec Ctr,724,1791,0.404243439419
1462,FULTON,924,RW17,627,1551,0.404255319149
1536,FULTON,884,SS22,600,1484,0.404312668464
631,COBB,859,Vinings 01,584,1443,0.404712404712
783,DEKALB,1400,ASHFORD PARKSIDE,954,2354,0.405267629567
1870,HENRY,656,MCDONOUGH,448,1104,0.405797101449
1422,FULTON,278,JC15,190,468,0.405982905983
1539,FULTON,917,SS29A,631,1548,0.407622739018
794,DEKALB,706,BRIARLAKE ELEM,486,1192,0.407718120805
1732,GWINNETT,1243,PINCKNEYVILLE W,856,2099,0.407813244402
2532,TWIGGS,630,GOLDEN ISLES,434,1064,0.407894736842
2238,PEACH,884,FORT VALLEY #1,610,1494,0.408299866131
1408,FULTON,527,JC03B,364,891,0.408529741863
189,CALHOUN,228,Edison-Arlington,159,389,0.408740359897
1738,GWINNETT,408,BERKSHIRE P,284,692,0.410404624277
2445,TALIAFERRO,114,Sharon,80,194,0.412371134021
2126,MONROE,1486,FORSYTH,1043,2529,0.412415974694
1647,GWINNETT,960,CATES C,677,1637,0.413561392792
